[INFO] [2023-08-01 12:05:49,986] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:05:49,986] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:05:50,002] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:05:50,013] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:06:31,005] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:06:31,035] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:06:32,526] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:06:32,557] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:06:32,557] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:06:32,573] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:06:32,573] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:07:28,536] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:07:28,583] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:07:30,117] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:07:30,133] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:07:30,133] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:07:30,148] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:07:30,164] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:23:36,084] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:23:36,115] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:23:37,475] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:23:37,490] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:23:37,506] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:23:37,506] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:23:37,521] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:25:14,644] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:25:14,675] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:25:15,913] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:25:15,944] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:25:15,944] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:25:15,960] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:25:15,960] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:26:07,588] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:26:07,619] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:26:08,889] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:26:08,920] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:26:08,920] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:26:08,936] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:26:08,936] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:28:51,713] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:28:51,753] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:28:53,098] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:28:53,118] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:28:53,118] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:28:53,118] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:28:53,134] [CleanUp2]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:29:35,394] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:29:35,425] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:29:36,699] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:29:36,714] [Extractor]: Archivo datos_contratos.json convertido a df
